CD_CID,DS_CID
L508,Outr Urticarias
L509,Urticaria Ne
L51,Eritema Polimorfo
L510,Eritema Multiforme nao Bolhoso
L511,Eritema Multiforme Bolhoso
L512,Necrolise Epidermica Toxica
L52,Eritema Nodoso
L53,Outr Afeccoes Eritematosas
L551,Queim Solar de 2.Grau
L56,Outr Alterac Agud Pele Dev Rad Ultravio
L569,Alteracoes Agud Pele Dev Rad Ultraviole
L57,Alter Pele Dev Expos Cron Rad nao Ioniz
L570,Ceratose Actinica
L571,Reticuloide Actinica
L580,Radiodermatite Aguda
L59,Outr Afecc Pele Tec Subcutan Relac Radi
L599,Afeccoes Pele Tec Subcutaneo Relac Rad
L60,Afeccoes das Unhas
L600,Unha Encravada
L601,Onicolise
L603,Distrofia Ungueal
L608,Outr Afeccoes das Unhas
L609,Afeccoes das Unhas Ne
L63,Alopecia Areata
L659,Perda de Cabelos ou p/Nao Cicatriciais
L662,Foliculite Descalvante
L700,Acne Vulgar
L71,Rosacea
L72,Cistos Foliculares da Pele e Tec Subcut
L720,Cisto Epidermico
L721,Cisto Triquilemal
L728,Outr Form Cistos Foliculares Pele Tec S
L729,Cisto Folicular Ne da Pele e Tec Subcut
L732,Hidradenite Supurativa
L80,Vitiligo
L81,Outr Transt da Pigmentacao
L810,Hiperpigmentacao Pos-Inflam
L84,Calos e Calosidades
L85,Outr Form de Espessamento Epidermico
L851,Ceratose Adquir Palmar e Plantar
L853,Xerose Cutanea
L858,Outr Form de Espessamento Epidermico
L859,Espessamento Epidermico Ne
L87,Transt da Eliminacao Transepidermica
L872,Elastose Perfurante Serpiginosa
L88,Piodermite Gangrenosa
L89,Ulcera de Decubito
L90,Afeccoes Atroficas da Pele
L900,Liquen Escleroso e Atrofico
L905,Cicatrizes e Fibrose Cutanea
L908,Outr Afeccoes Atroficas da Pele
L909,Afeccoes Atroficas da Pele Ne
L91,Afeccoes Hipertroficas da Pele
L910,Cicatriz Queloide
L919,Afeccoes Hipertroficas da Pele Ne
L92,Afeccoes Granulomatosas Pele Tec Subcut
L920,Granuloma Anular
L921,Necrobiose Lipoidica Ncop
L923,Granuloma Corpo Estranho Pele Tec Subcu
L928,Outr Afec Granulomatosas Pele Tec Subcu
L929,Afecc Granulomatosas Pele Tec Subcutane
L93,Lupus Eritematoso
L930,Lupus Eritematoso Discoide
L931,Lupus Eritematoso Cutaneo Subagudo
L932,Outr Form de Lupus Eritematoso Localiza
L940,Esclerodermia Localizada
L95,Vasculite Limitada a Pele Ncop
L950,Vasculite Livedoide
L958,Outr Vasculites Limitadas a Pele
L959,Vasculites Limitadas a Pele Ne
L97,Ulcera dos Membros Infer Ncop
L98,Outr Afeccoes da Pele e Tec Subcutaneo
L980,Granuloma Piogenico
L981,Dermatite Facticia
L984,Ulcera Cronica da Pele Ncop
L986,Outr Afecc Infiltrativas Pele Tec Subcu
L988,Outr Afeccoes Espec Pele e Tec Subcutan
L989,Afeccoes da Pele e do Tec Subcutaneo Ne
L99,Outr Afeccoes Pele Tec Subcutaneo Doenc
L998,Outr Afecc Espec Pele Tec Subcut Doenc
M00,Artrite Piogenica
M000,Artrite e Pioliartrite Estafilococicas
M008,Artrite Poliartr Dev Outr Agent Bacter
M009,Artrite Piogenica Ne
M01,Infecc Diretas Artic Doenc Infec Parasi
M013,Artrite em Outr Doenc Bacter Cop
M015,Artrite em Outr Doenc Virais Cop
M018,Artrite em Outr Doenc Infecc e Parasit
M021,Artropatia Pos-Desinterica
M023,Doenc de Reiter
M028,Outr Artropatias Reacionais
M03,Artropatias Pos-Infecc Reac Doenc Infec
M030,Artrite Pos-Meningococica
M032,Outr Artropatias Pos-Infecc em Doenc Co
M036,Artropatia Reacional em Outr Doenc Cop
M05,Artrite Reumatoide Soro-Positiva
M050,Sindr de Felty
M051,Doenc Reumatoide do Pulmao
M052,Vasculite Reumatoide
M053,Artrite Reumatoide c/Compr Outr Org e S
M058,Outr Artrites Reumatoides Soro-Positiva
M059,Artrite Reumatoide Soro-Positiva Ne
M06,Outr Artrites Reumatoides
M060,Artrite Reumatoide Soro-Negativa
M061,Doenc de Still do Adulto
M063,Nodulo Reumatoide
M064,Poliartropatia Inflam
M068,Outr Artrites Reumatoides Espec
M069,Artrite Reumatoide Ne
M07,Artropatias Psoriasicas e Enteropaticas
M070,Artropatia Psoriasica Interfalangiana D
M071,Artrite Mutilante
M072,Espondilite Psoriasica
M073,Outr Artropatias Psoriasicas
M074,Artropatia na Doenc de Crohn
M076,Outr Artropatias Enteropaticas
M08,Artrite Juvenil
M080,Artrite Reumatoide Juvenil
M081,Espondilite Ancilosante Juvenil
M082,Artrite Juvenil c/Inicio Sistemico
M089,Artrite Juvenil Ne
M09,Artrite Juvenil em Doenc Cop
M098,Artrite Juvenil em Outr Doenc Cop
M10,Gota
M100,Gota Idiopatica
M103,Gota Dev Disfuncao Renal
M104,Outr Gota Secund
M109,Gota Ne
M11,Outr Artropatias p/Deposicao de Cristai
M12,Outr Artropatias Espec
M122,Sinovite Vilonodular
M123,Reumatismo Palindromico
M125,Artropatia Traum
M128,Outr Artropatias Especificas Ncop
M13,Outr Artrites
M130,Poliartrite Ne
M131,Monoartrites Ncop
M138,Outr Artrites Espec
M139,Artrite Ne
M14,Artropatias em Outr Doenc Cop
M140,Artropat Gotosa Dev Def Enzim Out Doen
M141,Artropatia Dep Cristais Outr Doenc Meta
M142,Artropatia Diabetica
M146,Artropatia Neuropatica
M148,Artropatias em Outr Doenc Espec Cop
M15,Poliartrose
M150,Artrose Prim Generalizada
M151,Nodulos de Heberden
M152,Nodulos de Bouchard
M153,Artrose Mult Secund
M154,Artrose Erosiva
M158,Outr Poliartroses
M159,Poliartrose Ne
M16,Coxartrose
M160,Coxartrose Prim Bilateral
M161,Outr Coxartroses Prim
M162,Coxartrose Bilateral Resultante de Disp
M163,Outr Coxartroses Displasicas
M164,Coxartrose Bilateral Pos-Traum
M165,Outr Coxartroses Pos-Traum
M166,Outr Coxartroses Secund Bilaterais
M167,Outr Coxartroses Secund
M169,Coxartrose Ne
M17,Gonartrose
M170,Gonartrose Prim Bilateral
M171,Outr Gonartroses Prim
M172,Gonartrose Pos-Traum Bilateral
M173,Outr Gonartroses Pos-Traum
M174,Outr Gonartroses Secund Bilaterais
M175,Outr Gonartroses Secund
M179,Gonartrose Ne
M18,Artrose Prim Articulacao Carpometacarpi
M180,Artrose Prim Bilat Prim Artic Carpometa
M181,Outr Artroses Prim Prim Artic Carpometa
M184,Outr Cartroses Sec Bilat Prim Art Carpo
M185,Outr Artroses Sec Prim Artic Carpometac
M189,Artrose Ne Prim Artic Carpometacarpiana
M19,Outr Artroses
M190,Artrose Prim de Outr Articulacoes
M191,Artrose Pos-Traum de Outr Articulacoes
M192,Outr Artroses Secund
M198,Outr Artroses Espec
M199,Artrose Ne
M20,Deform Adquir Dedos Maos e Pes
M200,Deform de Dedos das Maos
M201,Hallux Valgo
M202,Hallux Rigidus
M203,Outr Deform do Hallux
M204,Dedos do Pe em Malho
M205,Outr Deform de Dedos dos Pes
M206,Deform Adquir Ne de Dedos do Pe
M21,Outr Deform Adquir dos Membros
M210,Deform em Valgo Ncop
M211,Deform em Varo Ncop
M212,Deform em Flexao
M213,Mao ou Pe Pendente
M214,Pe Chato
M215,Mao e Pe em Garra e Mao e Pe Tortos Adq
M216,Outr Deform Adquir do Tornozelo e do Pe
M217,Desigualdade do Comprimento dos Membros
M218,Outr Deform Adquir Espec dos Membros
M219,Deform Adquir Ne de Membro
M22,Transt da Rotula
M220,Deslocamento Recidivante da Rotula
M221,Subluxacao Recidivante da Rotula
M222,Transt Femuropatelares
M223,Outr Desarranjos da Rotula
M224,Condromalacia da Rotula
M228,Outr Transt da Rotula
M229,Transt da Rotula Ne
M23,Transt Internos dos Joelhos
M230,Menisco Cistico
M231,Menisco Discoide
M232,Transt Menisco Dev Ruptura ou Lesao Ant
M233,Outr Transt do Menisco
M234,Corpo Flutuante no Joelho
M235,Instabilidade Cronica do Joelho
M236,Outr Rupturas Espontaneas Ligamentos Jo
M238,Outr Transt Internos do Joelho
M239,Transt Interno Ne do Joelho
M24,Outr Transt Articulares Especificos
M240,Corpo Flutuante em Articulacao
M241,Outr Transt das Cartilagens Articulares
M242,Transt de Ligamentos
M243,Deslocamento e Subluxacao Patolog Artic
M244,Deslocamento e Subluxacao Artic Recidiv
M245,Contratura Articular
M246,Ancilose Articular
M247,Protusao do Acetabulo
M248,Outr Transt Articulares Especificos Nco
M249,Desarranjo Articular Ne
M25,Outr Transt Articulares Ncop
M250,Hemartrose
M251,Fistula Articular
M252,Flail Joint
M253,Outr Instabilidades Articulares
M254,Derrame Articular
M255,Dor Articular
M256,Rigidez Articular Ncop
M257,Osteofito
M258,Outr Transt Articulares Espec
M259,Transt Articular Ne
M30,Poliarterite Nodosa e Afeccoes Correlat
M300,Poliarterite Nodosa
M301,Poliarterite c/Compr Pulmonar
M31,Outr Vasculopatias Necrotizantes
M311,Microangiopatia Trombotica
M313,Granulomatose de Wegener
M314,Sindr do Arco Aortico
M315,Arterite Celulas Gigantes Polimialgia R
M317,{ñ class}
M318,Outr Vasculopatias Necrotizantes Espec
M319,Vasculopatia Necrotizante Ne
M32,Lupus Eritematoso Disseminado
M320,Lupus Eritematoso Disseminado Induz p/D
M321,Lupus Eritematoso Dissem Compr Outr Org
M328,Outr Form de Lupus Eritematoso Dissemin
M329,Lupus Eritematoso Disseminado Ne
M33,Dermatopoliomiosite
M330,Dermatomiosite Juvenil
M331,Outr Dermatomiosites
M332,Polimiosite
M34,Esclerose Sistemica
M340,Esclerose Sistemica Progressiva
M341,Sindr Crest
M348,Outr Form de Esclerose Sistemica
M349,Esclerose Sistemica Ne
M35,Outr Afeccoes Sistemicas do Tec Conjunt
M350,Sindr Seca
M351,Outr Sindr Superpostas
M352,Doenc de Behcet
M353,Polimialgia Reumatica
M356,Paniculite Recidivante
M358,Outr Compr Sistemico Espec do Tec Conju
M359,Compr Sistemico Ne do Tec Conjuntivo
M36,Doenc Sistemicas do Tec Conjuntivo Doen
M360,Dermatomiosite em Doenc Neoplasicas
M368,Doenc Sistemicas Tec Conjunt Outr Doenc
M40,Cifose e Lordose
M400,Cifose Postural
M401,Outr Cifoses Secund
M402,Outr Cifoses e as Ne
M403,Sindr da Retificacao da Coluna Vertebra
M405,Lordose Ne
M41,Escoliose
M410,Escoliose Idiopatica Infantil
M411,Escoliose Idiopatica Juvenil
M412,Outr Escolioses Idiopaticas
M413,Escoliose Toracogenica
M414,Escoliose Neuromuscular
M415,Outr Escolioses Secund
M418,Outr Form de Escoliose
M419,Escoliose Ne
M42,Osteocondrose da Coluna Vertebral
M420,Osteocondrose Vertebral Juvenil
M421,Osteocondrose Vertebral do Adulto
M429,Osteocondrose Vertebral Ne
M43,Outr Dorsopatias Deformantes
M430,Espondilolise
M431,Espondilolistese
M432,Outr Fusoes da Coluna Vertebral
M434,Outr Subluxacoes Atlanto-Axiais Recidiv
M436,Torcicolo
M438,Outr Dorsopatias Deformantes Espec
M439,Dorsopatia Deformante Ne
M45,Espondilite Ancilosante
M46,Outr Espondilopatias Inflam
M460,Entesopatia Vertebral
M461,Sacroileite Ncop
M462,Osteomielite das Vertebras
M463,Infecc do Disco Intervertebral
M464,Discite Ne
M465,Outr Espondilopatias Infecc
M468,Outr Espondilopatias Inflam Espec
M469,Espondilopatia Inflam Ne
M47,Espondilose
M470,Sindr Compress Art Espinhal Ant ou Vert
M471,Outr Espondiloses c/Mielopatia
M472,Outr Espondiloses c/Radiculopatias
M478,Outr Espondiloses
M479,Espondilose Ne
M48,Outr Espondilopatias
M480,Estenose da Coluna Vertebral
M483,Espondilopatia Traum
M484,Frat de Fadiga de Vertebra
M488,Outr Espondilopatias Espec
M489,Espondilopatia Ne
M49,Espondilopatias em Doenc Cop
M490,Tuberc da Coluna Vertebral
M495,Vertebra Colapsada em Doenc Cop
M498,Espondilopatia Outr Doenc Cop
M50,Transt dos Discos Cervicais
M500,Transt do Disco Cervical c/Mielopatia
M501,Transt do Disco Cervical c/Radiculopati
M502,Outr Deslocamento de Disco Cervical
M503,Outr Degeneracao de Disco Cervical
M508,Outr Transt de Discos Cervicais
M509,Transt Ne de Disco Cervical
M51,Outr Transt de Discos Intervertebrais
M510,Transt Disco Lombar Outr Intervert Miel
M511,Transt Disco Lombar Outr Intervert Radi
M512,Outr Desloc Discais Intervertebrais Esp
M513,Outr Degeneracao Espec Disco Interverte
M514,Nodulos de Schmorl
M518,Outr Transt Espec de Discos Interverteb
M519,Transt Ne de Disco Intervertebral
M525,{ñ class}
M53,Outr Dorsopatias Ncop
M530,Sindr Cervicocraniana
M531,Sindr Cervicobraquial
M532,Instabilidades da Coluna Vertebral
M533,Transt Sacroccigeos Ncop
M538,Outr Dorsopatias Espec
M539,Dorsopatia Ne
M54,Dorsalgia
M540,Paniculite Atingindo Regioes Pescoco E
M541,Radiculopatia
M542,Cervicalgia
M543,Ciatica
M544,Lumbago c/Ciatica
M545,Dor Lombar Baixa
M546,Dor na Coluna Toracica
M548,Outr Dorsalgia
M549,Dorsalgia Ne
M60,Miosite
M600,Miosite Infecc
M601,Miosite Intersticial
M608,Outr Miosites
M609,Miosite Ne
M61,Calcificacao e Ossificacao do Musculo
M610,Miosite Ossificante Traum
M611,Miosite Ossificante Progressiva
M612,Calcificacao e Ossificacao Paralit Musc
M615,Outr Ossificacao de Musculo
M62,Outr Transt Musculares
M620,Diastase de Musculo
M621,Outr Rupturas Musculares
M622,Infarto Isquemico do Musculo
M623,Sindr de Imobilidade
M624,Contratura de Musculo
M625,Perda e Atrofia Muscular Ncop
M626,Distensao Muscular
M628,Outr Transt Musculares Espec
M629,Transt Muscular Ne
M63,Transt de Musculo em Doenc Cop
M633,Miosite na Sarcoidose
M638,Outr Transt Musculares em Doenc Cop
M65,Sinovite e Tenossinovite
M650,Abscesso da Bainha Tendinea
M651,Outr Sinovites Infecc
M652,Tendinite Calcificada
M653,Dedo em Gatilho
M654,Tenossinovite Estiloide Radial
M658,Outr Sinovites e Tenossinovites
M659,Sinovite e Tenossinovite Ne
M66,Ruptura Espontanea de Sinovia e de Tend
M660,Ruptura de Cisto Popliteo
M661,Ruptura de Sinovia
M662,Ruptura Espontanea de Tendoes Extensore
M663,Ruptura Espontanea de Tendoes Flexores
M664,Ruptura Espontanea de Outr Tendoes
M665,Ruptura Espontanea de Tendoes Ne
M67,Outr Transt das Sinovias e dos Tendoes
M670,Tendao de Aquiles Curto
M671,Outr Contratura de Tendao
M672,Hipertrofia Sinovial Ncop
M673,Sinovite Transitoria
M674,Ganglios
M678,Outr Transt Espec da Sinovia e do Tenda
M679,Transt Ne da Sinovia e do Tendao
M68,Transt de Sinovias e de Tendoes em Doen
M680,Sinovite e Tenossinovite Doenc Bacter C
M688,Outr Transt Sinovias e Tendoes em Doenc
M70,Transt Tec Moles Relac Uso Excess e Pre
M700,Sinovite Crepitante Cronica da Mao e Pu
M701,Bursite da Mao
M702,Bursite do Olecrano
M703,Outr Bursites do Cotovelo
M704,Bursite Pre-Patelar
M705,Outr Bursites do Joelho
M706,Bursite Trocanterica
M707,Outr Bursites do Quadril
M708,Outr Transt Tec Moles Relac Uso Excess
M709,Transt Ne Tec Moles Relac Uso Excess Pr
M71,Outr Bursopatias
M710,Abscesso de Bolsa Sinovial
M711,Outr Bursites Infecc
M712,Cisto Sinovial do Espaco Popliteo
M713,Outr Cistos de Bolsa Sinovial
M715,Outr Bursites Ncop
M718,Outr Bursopatias Espec
M719,Bursopatia Ne
M72,Transt Fibroblasticos
M720,Fibromatose de Fascia Palmar
M722,Fibromatose da Fascia Plantar
M723,Fasciite Nodular
M725,Fasciite Ncop
M726,{ñ class}
M728,Outr Transt Fibroblasticos
M729,Transt Fibroblastico Ne
M73,Transt dos Tec Moles em Doenc Cop
M731,Bursite Sifilitica
M738,Outr Transt dos Tec Moles em Outr Doenc
M75,Lesoes do Ombro
M750,Capsulite Adesiva do Ombro
M751,Sindr do Manguito Rotador
M752,Tendinite Bicepital
M753,Tendinite Calcificante do Ombro
M754,Sindr de Colis do Ombro
M755,Bursite do Ombro
M758,Outr Lesoes do Ombro
M759,Lesao Ne do Ombro
M76,Entesopatias dos Membros Infer Excl Pe
M760,Tendinite Glutea
M762,Esporao da Crista Iliaca
M763,Sindr da Faixa Iliotibial
M764,Bursite Tibial Colateral
M765,Tendinite Patelar
M766,Tendinite Aquileana
M767,Tendinite do Peroneo
M768,Outr Entesopatias do Membro Infer Excl
M769,Entesopatia do Membro Infer Ne
M77,Outr Entesopatias
M770,Epicondilite Medial
M771,Epicondilite Lateral
M772,Periartrite do Punho
M773,Esporao do Calcaneo
M774,Metatarsalgia
M775,Outr Entesopatia do Pe
M778,Outr Entesopatias Ncop
M779,Entesopatia Ne
M79,Outr Transt dos Tec Moles Ncop
M790,Reumatismo Ne
M791,Mialgia
M792,Nevralgia e Neurite Ne
M793,Paniculite Ne
M795,Corpo Estranho Residual no Tec Mole
M796,Dor em Membro
M797,{ñ class}
M798,Outr Transt Espec dos Tec Moles
M799,Transt dos Tec Moles Ne
M80,Osteoporose c/Frat Patologica
M800,Osteoporose Pos-Menopausica c/Frat Pato
M804,Osteoporose Induz p/Drogas c/Frat Patol
M808,Outr Osteoporoses c/Frat Patologica
M809,Osteoporose Ne c/Frat Patologica
M81,Osteoporose s/Frat Patologica
M810,Osteoporose Pos-Menopausica
M811,Osteoporose Pos-Ooforectomia
M812,Osteoporose de Desuso
M813,Osteoporose Dev Ma-Absorcao Pos-Cirurgi
M815,Osteoporose Idiopatica
M818,Outr Osteoporoses
M819,Osteoporose Ne
M82,Osteoporose em Doenc Cop
M820,Osteoporose na Mielomatose Mult
M821,Osteoporose em Disturbios Endocrinos
M83,Osteomalacia do Adulto
M832,Osteomalacia do Adulto Dev Ma-Absorcao
M834,Doenc Ossea p/Aluminio
M835,Outr Osteomalacias do Adulto Induz p/Dr
M84,Transt da Continuidade do Osso
M840,Defeito de Consolidacao da Frat
M841,Ausencia de Consolidacao da Frat
M842,Atraso de Consolidacao de Frat
M843,Frat de Fadiga Ncop
M844,Frat Patologica Ncop
M848,Outr Transt da Continuidade do Osso
M849,Transt Ne da Continuidade do Osso
M85,Outr Transt da Densidade e Estrutura Os
M850,Displasia Fibrosa
M853,Osteite Condensante
M854,Cisto Osseo Solitario
M855,Cisto Osseo Aneurismatico
M856,Outr Cisto Osseo
M858,Outr Transt Espec Densidade Estrutura O
M859,Transt Ne Densidade Estrutura Osseas
M86,Osteomielite
M860,Osteomielite Aguda Hematogenica
M861,Outr Osteomielite Aguda
M862,Osteomielite Subaguda
M863,Osteomielite Cronica Multifocal
M864,Osteomielite Cronica c/Seio Drenante
M865,Outr Osteomielite Cronica Hematogenica
M866,Outr Osteomielite Cronica
M868,Outr Osteomielite
M869,Osteomielite Ne
M87,Osteonecrose
M870,Necrose Asseptica Idiopatica do Osso
M871,Osteonecrose Dev Drogas
M872,Osteonecrose Dev Traum Anterior
M873,Outr Osteonecroses Secund
M878,Outr Osteonecroses
M879,Osteonecrose Ne
M88,Doenc de Paget do Osso
M888,Doenc de Paget de Outr Ossos
M889,Doenc de Paget de Osso Ne
M89,Outr Transt Osseos
M890,Algoneurodistrofia
M892,Outr Transt Desenvolv e Crescimento Oss
M893,Hipertrofia Ossea
M894,Outr Osteoartropatias Hipertroficas
M898,Outr Transt Espec do Osso
M899,Transt Ne do Osso
M90,Osteopatias em Doenc Cop
M900,Tuberc Ossea
M901,Periostite em Outr Doenc Infecc Cop
M905,Osteonecrose em Outr Doenc Cop
M91,Osteocondrose Juvenil do Quadril e da P
M911,Osteocondrose Juvenil da Cabeca do Femu
M912,Coxa Plana
M919,Osteocondrose Juvenil Ne Quadril e Pelv
M92,Outr Osteocondroses Juvenis
M920,Osteocondrose Juvenil do Umero
M921,Osteocondrose Juvenil do Radio e do Cub
M922,Osteocondrose Juvenil da Mao
M923,Outr Osteocondroses Juvenis do Membro S
M924,Osteocondrose Juvenil da Rotula
M925,Osteocondrose Juvenil da Tibia e Peroni
M926,Osteocondrose Juvenil do Tarso
M927,Osteocondrose Juvenil do Metatarso
M93,Outr Osteocondropatias
M931,Doenc de Kienbock do Adulto
M932,Osteocondrite Dissecante
M938,Outr Osteocondropatias Espec
M939,Osteocondropatias Ne
M94,Outr Transt das Cartilagens
M940,Sindr da Juncao Condrocostal
M941,Policondrite Recidivante
M942,Condromalacia
M943,Condrolise
M948,Outr Transt Espec da Cartilagem
M949,Transt Ne da Cartilagem
M95,Outr Deform Adquir Sist Osteomusc Tec C
M950,Deform Adquir do Nariz
M954,Deform Adquir do Torax e das Costelas
M955,Deform Adquir da Pelve
M958,Outr Deform Adquir Espec Sist Osteomusc
M959,Deform Adquir do Sist Osteomuscular Ne
M96,Transt Osteomusculares Pos-Proced Ncop
M960,Pseudo-Artrose Apos Fusao ou Artrodese
M961,Sindr Pos-Laminectomia Ncop
M966,Frat Osso Subs Impl Ortop Prot Art Plac
M99,Lesoes Biomecanicas Ncop
M990,Disfuncao Segmentar e Somatica
M991,Complexo de Subluxacao
M993,Estenose Ossea do Canal Medular
M994,Estenose de Tec Conjuntivo do Canal Med
M995,Estenose Disco Intervertebral Canal Med
M996,Estenose Ossea Subluxacao Forames Inter
M997,Estenose Tec Conj e Disco Forames Inter
M999,Lesao Biomecanica Ne
N00,Sindr Nefritica Aguda
N008,Outr
N01,Sindr Nefritica Rapidamente Progressiva
N015,Glomerulonefrite Mesangiocapilar Difusa
N017,Glomerulonefrite Difusa em Crescente
N018,Outr
N02,Hematuria Recidivante e Persistente
N028,Outr
N03,Sindr Nefritica Cronica
N030,Anormalidade Glomerular Minor
N032,Glomerulonefrite Membranosa Difusa
N039,Ne
N04,Sindr Nefrotica
N040,Anormalidade Glomerular Minor
N041,Lesoes Glomerulares Focais e Segmentare
N042,Glomerulonefrite Membranosa Difusa
N048,Outr
N049,Ne
N05,Sindr Nefritica Ne
N052,Glomerulonefrite Membranosa Difusa
N057,Glomerulonefrite Difusa em Crescente
N059,Ne
N065,Glomerulonefrite Mesangiocapilar Difusa
N069,Ne
N079,Ne
N08,Transt Glomerulares em Doenc Cop
N083,Transt Glomerulares no Diabetes Mellitu
N10,Nefrite Tubulo-Intersticial Aguda
N11,Nefrite Tubulo-Intersticial Cronica
N110,Pielonefrite Nao-Obstrut Cron Assoc Ref
N111,Pielonefrite Obstrutiva Cronica
N13,Uropatia Obstrutiva e p/Refluxo
N130,Hidronefrose c/Obstr Juncao Uretero-Pel
N131,Hidronefrose c/Estreitamento de Ureter
N132,Hidronefr c/Obstr p/Calculose Renal Ure
N133,Outr Hidronefroses e as Ne
N136,Pionefrose
N138,Outr Uropatias Obstrutivas e p/Refluxo
N14,Afec Tubul Tubulo-Interst Ind Drog Met
N144,Nefropatia Toxica Ncop
N15,Outr Doenc Renais Tubulo-Intersticiais
N151,Abscesso Renal e Perinefretico
N164,Transt Renais Tubulo-Interst Doenc Tec
N168,Transt Renais Tubulo-Interst Outr Doenc
N17,Insuf Renal Aguda
N170,Insuf Renal Aguda c/Necrose Tubular
N172,Insuf Renal Aguda c/Necrose Medular
N178,Outr Tipo de Insuf Renal Aguda
N179,Insuf Renal Aguda Ne
N18,Insuf Renal Cronica
N180,Doenc Renal em Estadio Final
N188,Outr Insuf Renal Cronica
N189,Insuf Renal Cronica Ne
N19,Insuf Renal Ne
N20,Calculose do Rim e do Ureter
N200,Calculose do Rim
N201,Calculose do Ureter
N202,Calculose do Rim c/Calculo do Ureter
N209,Calculose Urinaria Ne
N21,Calculose do Trato Urinario Infer
N210,Calculose na Bexiga
N211,Calculo Uretral
N219,Calculo do Trato Urinario Infer Porcao
N22,Calculose do Trato Urinario Infer Doenc
N23,Colica Nefretica Ne
N25,Transt Result Funcao Renal Tubular Alte
N250,Osteodistrofia Renal
N258,Outr Transt Result Func Renal Tubular A
N259,Transt Resultante de Funcao Tubular Alt
N26,Rim Contraido Ne
N28,Outr Transt do Rim e do Ureter Ncop
N281,Cisto do Rim Adquir
N288,Outr Transt Espec do Rim e do Ureter
N289,Transt Ne do Rim e do Ureter
N29,Outr Transt do Rim e do Ureter em Doenc
N30,Cistite
N300,Cistite Aguda
N301,Cistite Intersticial
N302,Outr Cistites Cronicas
N304,Cistite p/Radiacao
N309,Cistite Ne
N31,Disfuncoes Neuromusculares da Bexiga Nc
N310,Bexiga Neuropatica Nao-Inibida Ncop
N311,Bexiga Neuropatica Reflexa Ncop
N312,Bexiga Neuropatica Flacida Ncop
N318,Outr Disfuncao Neuromuscular da Bexiga
N319,Disfuncao Neuromuscular Ne da Bexiga
N32,Outr Transt da Bexiga
N320,Obstrucao do Colo da Bexiga
N321,Fistula Entero-Vesical
N322,Fistula Vesical Ncop
N323,Diverticulo da Bexiga
N328,Outr Transt Espec da Bexiga
N329,Transt Ne da Bexiga
N34,Uretrite e Sindr Uretral
N341,Uretrites nao Especificas
N35,Estenose da Uretra
N350,Estenose Uretral Pos-Traum
N358,Outr Estenose Uretral
N359,Estenose Uretral Ne
N36,Outr Transt da Uretra
N360,Fistula Uretral
N361,Diverticulo Uretral
N363,Prolapso da Mucosa Uretral
N368,Outr Transt Espec da Uretra
N39,Outr Transt do Trato Urinario
N390,Infecc do Trato Urinario de Localiz Ne
N393,Incontinencia de Tensao
N394,Outr Incontinencias Urinarias Espec
N398,Outr Transt Espec do Aparelho Urinario
N399,Transt Ne do Aparelho Urinario
N40,Hiperplasia da Prostata
N41,Doenc Inflam da Prostata
N410,Prostatite Aguda
N411,Prostatite Cronica
N412,Abscesso da Prostata
N419,Doenc Inflam Ne da Prostata
N42,Outr Afeccoes da Prostata
N428,Outr Afeccoes Espec da Prostata
N429,Afeccao Ne da Prostata
N43,Hidrocele e Espermatocele
N430,Hidrocele Encistada
N432,Outr Hidrocele
N433,Hidrocele Ne
N434,Espermatocele
N44,Torcao do Testiculo
N45,Orquite e Epididimite
N450,Orquite Epidid Epididimo-Orquite c/Menc
N459,Orquite Epidid Epididimo-Orquite s/Menc
N47,Hipertrofia do Prepucio Fimose e Parafi
N48,Outr Transt do Penis
N480,Leucoplasia do Penis
N481,Balanopostite
N482,Outr Transt Inflam do Penis
N483,Priapismo
N486,Balanite Xerotica Obliterante
N488,Outr Transt Espec do Penis
N49,Transt Inflam Orgaos Genitais Masc Ncop
N492,Transt Inflam do Escroto
N498,Transt Inflam Outr Org Genitais Masc Es
N499,Transt Inflam de Orgao Genital Masc Ne
N50,Outr Transt dos Orgaos Genitais Masc
N508,Outr Transt Espec Orgaos Genitais Masc
N509,Transt Ne dos Orgaos Genitais Masc
N51,Transt Orgaos Genitais Masc Doenc Cop
N511,Transt do Testiculo e Epididimo em Doen
N60,Displasias Mamarias Benignas
N600,Cisto Solitario da Mama
N601,Mastopatia Cistica Difusa
N602,Fibroadenose da Mama
N609,Displasia Mamaria Benigna Ne
N61,Transt Inflam da Mama
N62,Hipertrofia da Mama
N63,Nodulo Mamario Ne
N64,Outr Doenc da Mama
N640,Fissura e Fistula do Mamilo
N641,Necrose Gordurosa da Mama
N642,Atrofia da Mama
N644,Mastodinia
N645,Outr Sint e Sinais da Mama
N648,Outr Transt Espec da Mama
N649,Transt da Mama Ne
N70,Salpingite e Ooforite
N700,Salpingite e Ooforite Agudas
N701,Salpingite e Ooforite Cronicas
N709,Salpingite e Ooforite Ne
N71,Doenc Inflam do Utero Exceto O Colo
N710,Doenc Inflam Aguda do Utero
N719,Doenc Inflam Ne do Utero
N72,Doenc Inflam do Colo do Utero
N73,Outr Doenc Inflam Pelvicas Femin
N732,Parametrite e Celulite Pelvicas Ne
N733,Pelviperitonite Aguda Femin
N735,Pelviperitonite Ne Femin
N736,Aderencias Pelviperitonais Femin
